aasta,langev_ilma_randeta,langev_randega,praegune_tase_ilma_randeta,praegune_tase_randega,stat_amet_ilma_randeta,stat_amet_randega
2026,273.37,273.37,273.37,273.37,273.37,273.37
2027,239.66,239.66,239.66,239.66,239.66,239.66
2028,215.26,215.26,215.36,215.36,215.46,215.46
2029,185.19,185.19,185.7,185.7,186.28,186.28
2030,176.06,176.06,177.37,177.37,178.87,178.87
