stsenaarium_sundimus,stsenaarium_ranne,stsenaarium,aasta,rahvaarv_eelmine_aasta,rahvaarv_kokku,naised_15_49,prognoositud_synnid,prognoositud_surmad,loomulik_iive,randesaldo,tfr
langev,ilma_randeta,langev_ilma_randeta,2035,4706.5,4582.75,920.02,21.59,145.34,-123.75,0.0,1.025
langev,randega,langev_randega,2026,5837.0,5710.74,1172.79,33.74,160.0,-126.26,0.0,1.175
langev,randega,langev_randega,2027,5710.74,5584.51,1147.77,31.85,158.08,-126.23,0.0,1.1583
langev,randega,langev_randega,2028,5584.51,5458.89,1112.41,29.91,155.53,-125.62,0.0,1.1417
langev,randega,langev_randega,2029,5458.89,5332.75,1091.22,28.27,154.41,-126.14,0.0,1.125
langev,randega,langev_randega,2030,5332.75,5204.8,1064.18,27.11,155.05,-127.95,0.0,1.1083
langev,randega,langev_randega,2031,5204.8,5081.91,1037.23,25.74,148.63,-122.89,0.0,1.0917
langev,randega,langev_randega,2032,5081.91,4952.41,1003.72,24.43,153.93,-129.5,0.0,1.075
langev,randega,langev_randega,2033,4952.41,4830.37,977.08,23.69,145.74,-122.05,0.0,1.0583
langev,randega,langev_randega,2034,4830.37,4706.5,947.2,22.38,146.25,-123.87,0.0,1.0417
langev,randega,langev_randega,2035,4706.5,4582.75,920.02,21.59,145.34,-123.75,0.0,1.025
